Time,rdy,bsy,rd,wr,ka,log,dns,cls
Jan:08:2014:18:52:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:52:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:53:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:53:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:54:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:54:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:55:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:55:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:56:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:56:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:57:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:57:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:58:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:58:57,75,3,0,3,0,0,0,0
Jan:08:2014:18:59:27,75,3,0,3,0,0,0,0
Jan:08:2014:18:59:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:00:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:00:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:01:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:01:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:02:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:02:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:03:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:03:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:04:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:04:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:05:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:05:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:06:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:06:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:07:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:07:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:08:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:08:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:09:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:09:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:10:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:10:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:11:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:11:57,75,3,0,3,0,0,0,0
Jan:08:2014:19:12:27,75,3,0,3,0,0,0,0
Jan:08:2014:19:12:57,75,3,0,3,0,0,0,0
